"Reference","Value","Footprint","Datasheet","Qty","DNP"
"A1","Arduino_Nano_v3.x","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf","1",""
"C1","220uF x 25 V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","1",""
"C2,C3,C4,C5","100nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~","4",""
"D1,D2","LED","LED_THT:LED_D3.0mm","~","2",""
"D3,D4","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","2",""
"H1,H2,H3,H4,H5,H6,H7,H8","Hole","MountingHole:MountingHole_3.2mm_M3,MountingHole:MountingHole_6mm","~","8",""
"J1","Jack","Connector_BarrelJack:BarrelJack_Horizontal","~","1",""
"J2","Supply_Terminal","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~","1",""
"J3","DC Cooler","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~","1",""
"Q1","BC337","Package_TO_SOT_THT:TO-92_HandSolder","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bc337.pdf","1",""
"Q2,Q3","TIP122","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.fairchildsemi.com/ds/TI/TIP120.pdf","2",""
"R1,R2,R11,R13","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","4",""
"R3,R5,R7,R8","4.7K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","4",""
"R4,R9,R10","330R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","3",""
"R6,R12,R14","1K8","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","3",""
"R15,R16,R17,R18","10R / 5W","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal","~","4",""
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8","TestPoint","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","~","8",""
"U1,U3,U4","DS18B20","Package_TO_SOT_THT:TO-92_HandSolder","http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf","3",""
"U2,U5,U6","PC817","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf","3",""
